epoch,gBest_fitness
1,0.49965331758023274
2,0.49965331758023274
3,0.49965331758023274
4,0.4996447918188389
5,0.4996447918188389
6,0.4996447918188389
7,0.4996447918188389
8,0.4995776061894154
9,0.4995776061894154
10,0.4995776061894154
11,0.4995776061894154
12,0.49270701409685685
13,0.48994034264246555
14,0.48994034264246555
15,0.47358524220035464
16,0.4446520408982323
17,0.4446520408982323
18,0.4413452522059461
19,0.4158501844056253
20,0.38475412688858185
21,0.27241152217429576
22,0.27241152217429576
23,0.27241152217429576
24,0.27241152217429576
25,0.26809973870813264
26,0.26809973870813264
27,0.26809973870813264
28,0.26809973870813264
29,0.26809973870813264
30,0.20568543563051
31,0.20568543563051
32,0.20568543563051
33,0.20568543563051
34,0.20568543563051
35,0.20568543563051
36,0.20568543563051
37,0.20568543563051
38,0.20568543563051
39,0.20568543563051
40,0.20568543563051
41,0.10389051963571821
42,0.10389051963571821
43,0.10389051963571821
44,0.10389051963571821
45,0.05049136084136474
46,0.05049136084136474
47,0.05049136084136474
48,0.03332366400450676
49,0.03332366400450676
50,0.03332366400450676
51,0.03332366400450676
52,0.03332366400450676
53,0.0009055239201992138
54,3.422331059982353e-05
55,2.540924890437335e-06
56,1.114666901225192e-06
57,4.161723299311859e-09
58,4.161723299311859e-09
59,1.0369094471940343e-10
60,5.773159728050814e-13
61,5.773159728050814e-13
62,5.773159728050814e-13
63,2.2648549702353193e-14
64,2.2648549702353193e-14
65,2.2648549702353193e-14
66,2.2648549702353193e-14
67,2.2648549702353193e-14
68,2.2648549702353193e-14
69,2.2648549702353193e-14
70,2.2648549702353193e-14
71,2.2648549702353193e-14
72,2.2648549702353193e-14
73,2.2648549702353193e-14
74,2.2648549702353193e-14
75,2.2648549702353193e-14
76,1.7541523789077473e-14
77,1.7541523789077473e-14
78,1.7541523789077473e-14
79,1.7541523789077473e-14
80,1.7541523789077473e-14
81,1.7541523789077473e-14
82,1.7541523789077473e-14
83,1.7541523789077473e-14
84,1.7541523789077473e-14
85,1.7541523789077473e-14
86,1.7541523789077473e-14
87,1.7541523789077473e-14
88,1.7541523789077473e-14
89,1.7541523789077473e-14
90,1.7541523789077473e-14
91,1.7541523789077473e-14
92,1.7541523789077473e-14
93,1.2878587085651816e-14
94,1.2878587085651816e-14
95,1.2878587085651816e-14
96,1.2878587085651816e-14
97,1.2878587085651816e-14
98,1.2878587085651816e-14
99,1.2878587085651816e-14
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
